Soft Majority Vote Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"(0.5, 0.5) & 0.425",0.9270971603675907,0.8984605788728086,0.9474396135265701,0.052560386473429935,0.8551054384017759,0.14489456159822417,0.9649593001251382,0.9549996098704993,0.9860435964143754,0.9548416466375146,0.8755915265464438,0.1319811982990963,0.0313640392460587,0.9625596062144286,0.037440393785571444,0.9876064413724626,0.012393558627537372,0.9597416177561897,0.9605193203981932,0.9626740631095757,0.9597416177561897,0.9366742907058642,0.9213559398871192,0.9549996098704993
"(0.4, 0.6) & 0.5",0.9269840193118541,0.9293550794110705,0.9257004830917875,0.07429951690821254,0.93452987396509,0.06547012603491006,0.9653542100809709,0.955256538013104,0.9862225283809922,0.9544878257724498,0.9137740139187841,0.12053891569159556,0.027783949940273923,0.9848125929344203,0.015187407065579639,0.9829480063321803,0.017051993667819797,0.9736996559400932,0.9735819205747791,0.9738201582968775,0.9736996559400932,0.9565963783410835,0.958738940148635,0.955256538013104
"(0.4125, 0.5875) & 0.3875",0.9269060381580554,0.9038847502781531,0.9431884057971015,0.05681159420289854,0.8688167865855542,0.13118321341444586,0.9654767263157747,0.9548967717341146,0.9861992172144456,0.9547201687567324,0.8820373412194646,0.12188799871991365,0.028180662131410204,0.9666051376711275,0.033394862328872475,0.986622512521051,0.013377487478949002,0.9622006341496323,0.9628232719383563,0.9644763003701733,0.9622006341496323,0.9401772285054809,0.9277196495533027,0.9548967717341146
"(0.475, 0.525) & 0.425",0.9267411671616934,0.9036414401038384,0.9430917874396135,0.05690821256038647,0.8684669939989089,0.1315330060010911,0.9651759997960587,0.9548484625553705,0.9860873602748097,0.9546103199123941,0.8818271037548632,0.12897697000103148,0.030381932967463693,0.9666051376711275,0.033394862328872475,0.9866548267567833,0.013345173243216778,0.9622006341496323,0.9627896384649196,0.9644237978732704,0.9622006341496323,0.9400620294172223,0.927560910377846,0.9548484625553705
"(0.5, 0.5) & 0.4375",0.9267378744832593,0.9036321318222423,0.9430917874396135,0.05690821256038647,0.8684452831869246,0.13155471681307546,0.9649593001251382,0.9548484625553705,0.9860435964143754,0.9546052842369127,0.8818194797055918,0.1319811982990963,0.0313640392460587,0.9666051376711275,0.033394862328872454,0.986660059619159,0.013339940380841053,0.9622040072859745,0.9627853215511688,0.9644118831808992,0.9622040072859745,0.9400586669156435,0.9275526714030417,0.9548484625553705
"(0.5125, 0.4875) & 0.45",0.9267378744832593,0.9036321318222423,0.9430917874396135,0.05690821256038647,0.8684452831869246,0.13155471681307546,0.9649205466885918,0.9548484625553705,0.9860437078799471,0.9546052842369127,0.8818194797055918,0.1335216520876754,0.0318768633733934,0.9666051376711275,0.033394862328872454,0.986660059619159,0.013339940380841053,0.9622040072859745,0.9627853215511688,0.9644118831808992,0.9622040072859745,0.9400586669156435,0.9275526714030417,0.9548484625553705
"(0.575, 0.425) & 0.4875",0.9267287974661143,0.9037029360779771,0.9430917874396135,0.05690821256038647,0.8688361434497525,0.13116385655024754,0.9638815516944979,0.954845898847223,0.9857988997604977,0.9545886093764032,0.8819864181036055,0.14163660092906566,0.03465869389043895,0.9666000102548326,0.033399989745167405,0.9866702470461869,0.013329752953813112,0.9622006341496323,0.9627909755017623,0.9644913075499281,0.9622006341496323,0.9400899628013513,0.9277531952479698,0.954845898847223
"(0.55, 0.45) & 0.3875",0.9265909354230988,0.8801244707889984,0.9605797101449275,0.03942028985507244,0.8126965037026956,0.1873034962973043,0.9642147485336098,0.9544861325682337,0.9858879335050894,0.9544040818558027,0.8543728404942991,0.13830476467978697,0.033502419707546326,0.9483925549915397,0.05160744500846022,0.9905198658605648,0.009480134139435025,0.9507049854955139,0.9522612624403362,0.9570644080606094,0.9507049854955139,0.9245459118989728,0.9016081847816302,0.9544861325682337
"(0.375, 0.625) & 0.45",0.9265390917302765,0.921717182754966,0.9300483091787439,0.06995169082125603,0.9148170923239535,0.08518290767604648,0.9659212675015029,0.9549026348231822,0.9868959290543928,0.9543453792647749,0.9040285860793953,0.11790674498152524,0.02703406753407574,0.9797569604676204,0.020243039532379648,0.983841741447959,0.01615825855204094,0.9704142211428186,0.9704636167755549,0.9708538894615281,0.9704142211428186,0.9517366033013156,0.9493294168859563,0.9549026348231822
"(0.3875, 0.6125) & 0.45",0.9265390917302765,0.921717182754966,0.9300483091787439,0.06995169082125603,0.9148170923239535,0.08518290767604648,0.9656796918987924,0.9549026348231822,0.9866942853583035,0.9543453792647749,0.9040285860793953,0.11921192101253564,0.02740175174116243,0.9797569604676204,0.020243039532379648,0.983841741447959,0.01615825855204094,0.9704142211428186,0.9704636167755549,0.9708538894615281,0.9704142211428186,0.9517366033013156,0.9493294168859563,0.9549026348231822
